Filename,Category,Subcategory,Brand,Color,Style Tags,Material,Size,Gender,Season,Pattern,Price (INR),Discount (%),Rating
item1.jpg,Tops,T-Shirts,Brand A,Red,Casual,Cotton,M,Unisex,Summer,Solid,799,10,4.5
item2.jpg,Tops,T-Shirts,Brand B,Blue,Formal,Polyester,L,Men,All Seasons,Striped,899,15,4.2
item3.jpg,Bottoms,Jeans,Brand C,Black,Casual,Denim,32,Women,All Seasons,Distressed,1599,20,4.7
item4.jpg,Accessories,Hats,Brand D,Green,Sporty,Canvas,One,Unisex,Spring,Printed,499,0,4
item5.jpg,Tops,Blouses,Brand E,White,Formal,Silk,S,Women,Summer,Floral,1299,5,4.8
item6.jpg,Footwear,Sneakers,Brand F,Grey,Casual,Leather,10,Men,All Seasons,Solid,1999,25,4.9
item7.jpg,Tops,Tank Tops,Brand G,Pink,Athletic,Spandex,XS,Women,Summer,Graphic,599,10,4.3
item8.jpg,Bottoms,Shorts,Brand H,Khaki,Casual,Cotton,28,Men,Summer,Camouflage,699,15,4.6
item9.jpg,Accessories,Sunglasses,Brand I,Brown,Retro,Plastic,One,Women,All Seasons,Solid,799,20,4.5
item10.jpg,Outerwear,Jackets,Brand J,Blue,Urban,Nylon,XL,Men,Winter,Padded,2999,30,4.7
item11.jpg,Bottoms,Skirts,Brand K,Black,Formal,Polyester,26,Women,All Seasons,Plain,899,10,4.4
item12.jpg,Tops,Polos,Brand L,Yellow,Casual,Cotton,M,Men,Summer,Striped,799,5,4.2
item13.jpg,Accessories,Belts,Brand M,Brown,Casual,Leather,One,Men,All Seasons,Solid,499,20,4.1
item14.jpg,Footwear,Sandals,Brand N,Tan,Casual,Rubber,8,Women,Summer,Printed,999,15,4.3
item15.jpg,Outerwear,Coats,Brand O,Grey,Formal,Wool,L,Men,Winter,Plain,2999,25,4.6
item16.jpg,Bottoms,Trousers,Brand P,Navy,Formal,Wool,30,Men,All Seasons,Checked,1499,10,4.4
item17.jpg,Tops,Sweaters,Brand Q,Purple,Casual,Wool,S,Women,Winter,Solid,1299,20,4.5
item18.jpg,Accessories,Scarves,Brand R,Red,Winter,Silk,One,Women,Winter,Floral,699,5,4.2
item19.jpg,Footwear,Boots,Brand S,Black,Casual,Leather,9,Women,Winter,Solid,2499,10,4.8
item20.jpg,Outerwear,Blazers,Brand T,Black,Formal,Wool,M,Men,All Seasons,Striped,1999,15,4.6
item21.jpg,Tops,Hoodies,Brand U,Grey,Casual,Fleece,L,Men,Winter,Graphic,1499,10,4.4
item22.jpg,Bottoms,Leggings,Brand V,Black,Athletic,Spandex,XS,Women,All Seasons,Solid,799,5,4.6
item23.jpg,Footwear,Flats,Brand W,Beige,Casual,Synthetic,7,Women,Summer,Solid,899,15,4.2
item24.jpg,Tops,Sweatshirts,Brand X,Navy,Urban,Cotton,XL,Men,All Seasons,Striped,1299,20,4.7
item25.jpg,Accessories,Watches,Brand Y,Silver,Formal,Metal,One,Unisex,All Seasons,Digital,1999,0,4.5
item26.jpg,Outerwear,Parkas,Brand Z,Olive,Outdoor,Nylon,M,Men,Winter,Camouflage,2999,10,4.8
item27.jpg,Bottoms,Jeggings,Brand A,Blue,Casual,Denim,29,Women,All Seasons,Printed,1099,15,4.3
item28.jpg,Tops,Shirts,Brand B,White,Formal,Linen,S,Men,Summer,Checkered,899,5,4.2
item29.jpg,Accessories,Backpacks,Brand C,Black,Casual,Canvas,One,Unisex,All Seasons,Solid,1299,10,4.6
item30.jpg,Footwear,Heels,Brand D,Red,Formal,Leather,6,Women,All Seasons,Solid,1599,20,4.4
item31.jpg,Outerwear,Ponchos,Brand E,Brown,Bohemian,Wool,L,Women,Winter,Patterned,1799,5,4.3
item32.jpg,Bottoms,Palazzos,Brand F,Pink,Ethnic,Silk,27,Women,Summer,Printed,999,0,4.7
item33.jpg,Tops,Tunics,Brand G,Yellow,Casual,Cotton,XS,Women,All Seasons,Floral,799,15,4.2
item34.jpg,Accessories,Wallets,Brand H,Tan,Formal,Leather,One,Men,All Seasons,Solid,599,10,4.5
item35.jpg,Footwear,Loafers,Brand I,Navy,Casual,Suede,9,Men,All Seasons,Solid,1499,0,4.8
item36.jpg,Outerwear,Waistcoats,Brand J,Grey,Formal,Polyester,XL,Men,Winter,Solid,899,5,4.6
item37.jpg,Bottoms,Capris,Brand K,Green,Athletic,Nylon,30,Women,Summer,Solid,699,10,4.4
item38.jpg,Tops,Cardigans,Brand L,Purple,Casual,Wool,M,Women,Winter,Solid,1299,15,4.9
item39.jpg,Accessories,Earrings,Brand M,Gold,Ethnic,Metal,One,Women,All Seasons,Beaded,499,0,4.7
item40.jpg,Footwear,Espadrilles,Brand N,Blue,Casual,Canvas,8,Women,Summer,Striped,899,10,4.3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,_,,,,,,,,,